Elapsed Time (s),IP Address,Queries
2,192.168.0.19,3
3,192.168.0.19,5
4,192.168.0.19,5
5,192.168.0.13,5
5,192.168.0.19,5
6,192.168.0.13,5
6,192.168.0.19,5
6,192.168.0.12,4
7,192.168.0.12,5
7,192.168.0.13,5
7,192.168.0.19,5
8,192.168.0.12,5
8,192.168.0.13,5
8,192.168.0.19,5
9,192.168.0.12,5
9,192.168.0.13,4
9,192.168.0.19,5
10,192.168.0.13,5
10,192.168.0.12,5
10,192.168.0.19,5
11,192.168.0.13,5
11,192.168.0.12,5
11,192.168.0.19,5
12,192.168.0.13,5
12,192.168.0.19,5
12,192.168.0.12,4
13,192.168.0.12,5
13,192.168.0.13,5
13,192.168.0.19,5
14,192.168.0.12,5
14,192.168.0.13,5
14,192.168.0.19,5
15,192.168.0.12,5
15,192.168.0.13,213
15,192.168.0.19,5
16,192.168.0.13,353
16,192.168.0.19,5
16,192.168.0.12,13
17,192.168.0.13,376
17,192.168.0.12,82
17,192.168.0.19,5
18,192.168.0.13,371
18,192.168.0.12,74
18,192.168.0.19,4
19,192.168.0.12,88
19,192.168.0.13,384
19,192.168.0.19,4
20,192.168.0.13,409
20,192.168.0.12,86
20,192.168.0.19,5
21,192.168.0.13,373
21,192.168.0.12,91
21,192.168.0.19,5
22,192.168.0.13,341
22,192.168.0.12,92
22,192.168.0.19,5
23,192.168.0.13,344
23,192.168.0.12,89
23,192.168.0.19,5
24,192.168.0.12,82
24,192.168.0.13,362
24,192.168.0.19,5
25,192.168.0.13,379
25,192.168.0.12,86
25,192.168.0.19,5
26,192.168.0.12,87
26,192.168.0.13,423
26,192.168.0.19,6
27,192.168.0.13,375
27,192.168.0.12,84
27,192.168.0.19,5
28,192.168.0.13,384
28,192.168.0.12,86
28,192.168.0.19,5
29,192.168.0.12,88
29,192.168.0.13,354
29,192.168.0.19,5
30,192.168.0.13,384
30,192.168.0.12,82
30,192.168.0.19,5
31,192.168.0.13,360
31,192.168.0.12,89
31,192.168.0.19,4
32,192.168.0.13,383
32,192.168.0.12,82
32,192.168.0.19,5
33,192.168.0.13,363
33,192.168.0.12,85
33,192.168.0.19,5
34,192.168.0.13,359
34,192.168.0.12,88
34,192.168.0.19,5
35,192.168.0.12,86
35,192.168.0.13,373
35,192.168.0.19,5
36,192.168.0.12,85
36,192.168.0.13,392
36,192.168.0.19,5
38,192.168.0.13,290
38,192.168.0.12,69
38,192.168.0.19,4
39,192.168.0.13,589
39,192.168.0.12,140
39,192.168.0.19,8
40,192.168.0.13,376
40,192.168.0.12,87
40,192.168.0.19,5
41,192.168.0.13,377
41,192.168.0.12,88
41,192.168.0.19,5
42,192.168.0.13,391
42,192.168.0.12,91
42,192.168.0.19,5
43,192.168.0.13,378
43,192.168.0.19,6
43,192.168.0.12,92
44,192.168.0.13,359
44,192.168.0.12,84
44,192.168.0.19,4
45,192.168.0.13,379
45,192.168.0.12,90
45,192.168.0.19,6
46,192.168.0.13,376
46,192.168.0.12,89
46,192.168.0.19,5
47,192.168.0.13,387
47,192.168.0.12,96
