Elapsed Time (s),IP Address,Queries
3,192.168.0.19,2
4,192.168.0.19,5
5,192.168.0.19,5
6,192.168.0.19,5
7,192.168.0.19,5
8,192.168.0.19,5
9,192.168.0.19,5
10,192.168.0.19,5
11,192.168.0.19,2
12,192.168.0.19,5
13,192.168.0.19,5
14,192.168.0.19,239
15,192.168.0.19,407
16,192.168.0.19,434
17,192.168.0.19,392
18,192.168.0.19,290
19,192.168.0.19,340
20,192.168.0.19,333
21,192.168.0.19,359
22,192.168.0.19,341
23,192.168.0.19,331
24,192.168.0.19,375
25,192.168.0.19,373
26,192.168.0.19,390
27,192.168.0.19,398
28,192.168.0.19,438
29,192.168.0.19,419
30,192.168.0.19,210
31,192.168.0.19,223
32,192.168.0.19,194
33,192.168.0.19,197
34,192.168.0.19,245
35,192.168.0.19,228
36,192.168.0.19,202
37,192.168.0.19,192
38,192.168.0.19,213
39,192.168.0.19,227
40,192.168.0.19,230
41,192.168.0.19,213
42,192.168.0.19,232
43,192.168.0.19,224
44,192.168.0.19,193
45,192.168.0.19,238
46,192.168.0.19,196
47,192.168.0.19,204
48,192.168.0.19,224
49,192.168.0.19,245
50,192.168.0.19,238
51,192.168.0.19,268
52,192.168.0.19,237
53,192.168.0.19,259
54,192.168.0.19,260
55,192.168.0.19,258
56,192.168.0.19,224
57,192.168.0.19,287
58,192.168.0.19,227
60,192.168.0.19,234
61,192.168.0.19,286
62,192.168.0.19,266
63,192.168.0.19,218
64,192.168.0.19,202
65,192.168.0.19,200
66,192.168.0.19,248
67,192.168.0.19,228
68,192.168.0.19,204
69,192.168.0.19,252
70,192.168.0.19,203
71,192.168.0.19,239
72,192.168.0.19,202
73,192.168.0.19,80
74,192.168.0.19,0
75,192.168.0.19,0
76,192.168.0.19,0
77,192.168.0.19,0
78,192.168.0.19,0
79,192.168.0.19,0
80,192.168.0.19,0
81,192.168.0.19,0
82,192.168.0.19,0
83,192.168.0.19,0
84,192.168.0.19,0
85,192.168.0.19,0
86,192.168.0.19,0
87,192.168.0.19,0
88,192.168.0.19,0
89,192.168.0.19,0
90,192.168.0.19,0
91,192.168.0.19,0
92,192.168.0.19,0
93,192.168.0.19,0
94,192.168.0.19,0
95,192.168.0.19,0
96,192.168.0.19,0
97,192.168.0.19,0
98,192.168.0.19,0
99,192.168.0.19,0
100,192.168.0.19,0
101,192.168.0.19,0
102,192.168.0.19,0
103,192.168.0.19,0
104,192.168.0.19,0
105,192.168.0.19,0
106,192.168.0.19,0
107,192.168.0.19,0
109,192.168.0.19,0
110,192.168.0.19,0
111,192.168.0.19,0
112,192.168.0.19,0
113,192.168.0.19,0
114,192.168.0.19,0
115,192.168.0.19,0
116,192.168.0.19,0
117,192.168.0.19,0
118,192.168.0.12,3
118,192.168.0.19,0
119,192.168.0.12,4
119,192.168.0.19,0
120,192.168.0.12,5
120,192.168.0.19,0
121,192.168.0.12,5
121,192.168.0.19,0
122,192.168.0.12,5
122,192.168.0.19,0
123,192.168.0.12,5
123,192.168.0.19,0
124,192.168.0.12,5
124,192.168.0.19,0
125,192.168.0.12,5
125,192.168.0.19,0
126,192.168.0.12,5
126,192.168.0.19,0
127,192.168.0.12,5
127,192.168.0.19,0
128,192.168.0.12,8
128,192.168.0.19,0
129,192.168.0.12,0
129,192.168.0.19,0
130,192.168.0.12,0
130,192.168.0.19,0
131,192.168.0.12,0
131,192.168.0.19,0
132,192.168.0.12,0
132,192.168.0.19,0
133,192.168.0.12,0
133,192.168.0.19,0
134,192.168.0.12,0
134,192.168.0.19,0
135,192.168.0.12,0
135,192.168.0.19,0
136,192.168.0.12,0
136,192.168.0.19,0
137,192.168.0.12,0
137,192.168.0.19,0
138,192.168.0.12,0
138,192.168.0.19,0
139,192.168.0.12,0
139,192.168.0.19,0
140,192.168.0.12,0
140,192.168.0.19,0
141,192.168.0.12,0
141,192.168.0.19,0
142,192.168.0.12,0
142,192.168.0.19,0
143,192.168.0.12,0
143,192.168.0.19,0
144,192.168.0.12,0
144,192.168.0.19,0
145,192.168.0.12,0
145,192.168.0.19,0
146,192.168.0.12,0
146,192.168.0.19,0
147,192.168.0.12,0
147,192.168.0.19,0
148,192.168.0.12,0
148,192.168.0.19,0
149,192.168.0.12,0
149,192.168.0.19,0
150,192.168.0.12,0
150,192.168.0.19,0
151,192.168.0.12,0
151,192.168.0.19,0
152,192.168.0.12,0
152,192.168.0.19,0
153,192.168.0.12,0
153,192.168.0.19,0
154,192.168.0.12,0
154,192.168.0.19,0
155,192.168.0.12,0
155,192.168.0.19,0
156,192.168.0.12,0
156,192.168.0.19,0
157,192.168.0.12,0
157,192.168.0.19,0
158,192.168.0.12,0
158,192.168.0.19,0
159,192.168.0.12,0
159,192.168.0.19,0
160,192.168.0.12,0
160,192.168.0.19,0
161,192.168.0.12,0
161,192.168.0.19,0
162,192.168.0.12,0
162,192.168.0.19,0
163,192.168.0.12,0
163,192.168.0.19,0
164,192.168.0.12,0
164,192.168.0.19,0
165,192.168.0.12,0
165,192.168.0.19,0
166,192.168.0.12,0
166,192.168.0.19,0
167,192.168.0.12,0
167,192.168.0.19,0
168,192.168.0.12,0
168,192.168.0.19,0
169,192.168.0.12,0
169,192.168.0.19,0
170,192.168.0.12,0
170,192.168.0.19,0
171,192.168.0.12,0
171,192.168.0.19,0
173,192.168.0.12,0
173,192.168.0.19,0
174,192.168.0.12,0
174,192.168.0.19,0
175,192.168.0.12,0
175,192.168.0.19,0
176,192.168.0.12,0
176,192.168.0.19,0
177,192.168.0.12,0
177,192.168.0.19,0
178,192.168.0.12,0
178,192.168.0.19,0
179,192.168.0.12,0
179,192.168.0.19,0
180,192.168.0.12,0
180,192.168.0.19,0
181,192.168.0.12,0
181,192.168.0.19,0
182,192.168.0.12,0
182,192.168.0.19,0
183,192.168.0.12,0
183,192.168.0.19,0
184,192.168.0.12,0
184,192.168.0.19,0
185,192.168.0.12,0
185,192.168.0.19,0
186,192.168.0.12,0
186,192.168.0.19,0
187,192.168.0.12,0
187,192.168.0.19,0
188,192.168.0.12,0
188,192.168.0.19,0
189,192.168.0.12,0
189,192.168.0.19,0
190,192.168.0.12,0
190,192.168.0.19,0
191,192.168.0.12,0
191,192.168.0.19,0
192,192.168.0.12,0
192,192.168.0.19,0
193,192.168.0.12,0
193,192.168.0.19,0
194,192.168.0.12,0
194,192.168.0.19,0
195,192.168.0.12,0
195,192.168.0.19,0
196,192.168.0.12,0
196,192.168.0.19,0
197,192.168.0.12,0
197,192.168.0.19,0
198,192.168.0.12,0
198,192.168.0.19,0
199,192.168.0.12,0
199,192.168.0.19,0
200,192.168.0.12,0
200,192.168.0.19,0
201,192.168.0.12,0
201,192.168.0.19,0
202,192.168.0.12,0
202,192.168.0.19,0
203,192.168.0.12,0
203,192.168.0.19,0
204,192.168.0.12,0
204,192.168.0.19,0
205,192.168.0.12,0
205,192.168.0.19,0
